vehicle_id,submission_time,arrival_time,departure_time,required_energy
21,0.03,0.12,5.38,48.01
38,0.09,1.69,3.62,13.27
14,0.13,0.16,4.76,32.16
7,0.18,0.28,2.99,26.33
12,0.2,0.23,2.2,18.66
17,0.27,1.71,7.92,56.09
20,0.29,4.98,10.84,41.49
9,0.33,0.69,4.31,36.13
35,0.38,3.39,7.84,42.65
28,0.43,0.81,6.82,58.7
40,0.51,3.61,10.2,60.52
23,0.58,1.85,3.15,8.32
11,0.67,2.54,5.35,23.94
15,0.82,7.45,12.32,45.65
37,1.31,7.94,10.03,17.98
24,1.36,3.16,9.6,60.53
34,1.5,3.78,8.77,48.0
19,1.68,7.9,11.17,27.84
5,1.73,5.78,7.77,16.75
29,2.1,2.38,4.12,9.9
13,2.11,2.4,5.46,21.98
1,2.24,2.46,6.04,29.06
18,2.26,2.36,6.91,33.3
25,2.34,4.69,7.96,22.48
31,2.42,2.91,10.8,62.96
4,2.5,6.96,13.67,62.99
6,2.51,6.59,11.6,46.97
36,3.38,4.48,7.22,20.38
27,3.46,4.56,8.9,38.64
33,3.51,7.07,15.18,59.93
22,3.87,5.24,6.83,9.68
10,3.89,6.29,11.04,43.02
16,4.12,7.26,14.19,51.12
39,4.71,7.13,8.62,14.49
30,4.96,6.05,11.24,46.73
2,5.16,5.55,12.69,56.6
26,5.36,6.35,9.13,24.83
3,5.49,6.59,12.22,46.99
32,5.74,5.84,12.77,59.31
8,7.09,7.89,10.03,15.45
