vehicle_id,submission_time,arrival_time,departure_time,required_energy
99,0.02,1.67,7.17,52.9
8,0.09,0.15,5.72,38.22
90,0.15,0.56,7.91,53.07
78,0.18,4.92,7.69,24.71
93,0.26,10.28,14.27,38.89
76,0.31,0.97,4.81,25.75
55,0.35,0.5,1.92,8.74
29,0.39,2.34,9.09,55.48
70,0.41,0.43,1.87,10.95
31,0.44,11.16,12.33,10.1
22,0.45,4.5,10.29,48.69
43,0.58,3.8,9.2,44.69
92,0.91,0.95,8.09,58.13
34,1.0,16.96,20.61,21.38
64,1.14,8.07,13.77,39.75
45,1.14,1.98,7.72,55.31
30,1.26,1.89,3.67,10.04
47,1.33,19.4,26.31,63.65
16,1.64,9.58,13.46,26.5
86,1.73,6.25,11.59,51.02
52,1.73,3.92,6.58,22.67
49,1.86,8.39,14.45,41.39
91,1.92,3.65,5.44,14.29
73,2.04,12.98,18.96,39.14
21,2.05,2.14,8.7,56.96
96,2.22,14.66,22.66,60.1
18,2.27,16.08,19.8,35.57
66,2.28,19.69,20.77,7.97
62,2.32,2.81,8.69,49.42
77,2.44,3.14,11.17,63.51
40,2.45,8.71,12.84,30.06
1,2.5,3.82,7.15,25.42
85,2.57,3.25,5.25,13.12
35,2.7,3.29,5.5,13.92
97,2.78,14.35,20.84,59.23
33,2.93,5.55,10.19,36.22
27,2.93,3.38,7.98,44.01
14,3.15,10.72,14.16,32.12
50,3.26,4.0,7.27,24.99
89,3.29,4.08,10.52,50.42
81,3.91,4.1,7.85,33.65
59,4.14,7.78,12.31,37.75
12,4.33,12.06,19.75,54.1
69,4.48,10.65,17.9,52.53
75,4.55,12.36,15.46,21.59
3,4.64,4.78,5.88,6.71
13,4.73,19.74,25.33,41.15
19,4.73,5.39,10.59,33.92
84,4.78,5.49,7.2,11.65
32,5.03,5.5,10.98,42.09
17,5.03,5.05,8.31,23.11
83,5.25,13.1,14.14,6.62
9,5.31,5.91,12.5,63.43
71,5.39,6.22,6.97,6.93
95,5.73,5.82,7.77,11.58
100,5.88,14.61,21.24,48.67
94,6.04,10.81,17.39,50.39
28,6.27,7.42,14.66,57.62
23,6.27,12.95,20.62,53.12
82,7.17,7.21,11.4,28.04
2,7.47,7.88,9.11,10.52
38,7.64,17.04,19.21,14.98
80,7.67,8.55,10.69,13.63
79,7.71,18.61,19.28,5.89
46,8.24,8.94,15.05,39.63
7,8.37,9.02,13.41,41.76
74,8.43,9.1,17.21,59.51
98,8.76,9.29,15.72,49.36
48,8.81,15.85,20.27,31.0
15,8.98,18.04,19.97,13.35
53,9.22,10.07,11.63,11.91
36,9.4,9.54,17.23,56.53
6,9.49,9.71,12.03,14.87
44,9.83,10.85,18.64,60.72
4,10.08,19.09,25.87,63.15
87,10.33,10.65,16.88,54.49
11,10.69,11.25,15.9,35.65
41,10.71,18.45,19.45,6.06
20,10.75,11.29,16.51,49.89
65,11.44,11.78,16.53,40.15
67,11.86,12.86,19.72,51.89
63,12.65,19.28,21.17,14.42
56,12.67,19.21,22.89,29.41
51,12.89,13.92,19.1,48.85
5,13.97,15.46,19.26,34.05
88,14.04,19.61,21.66,13.59
42,14.16,14.8,22.48,59.12
61,14.24,14.74,20.02,37.02
72,14.62,17.44,21.36,29.91
10,14.88,15.86,17.59,16.34
25,15.13,18.77,21.09,18.79
60,15.86,16.6,18.84,16.74
57,16.0,18.16,19.46,12.25
37,16.92,17.58,21.93,28.47
24,17.55,18.46,20.44,15.63
26,17.57,18.16,25.57,61.49
68,18.22,18.99,23.4,32.37
54,18.25,18.41,24.79,52.88
39,18.84,19.39,23.56,41.29
58,19.35,19.7,26.91,54.06
