vehicle_id,submission_time,arrival_time,departure_time,required_energy
90,0.02,0.58,3.03,21.33
1,0.04,0.08,5.94,38.72
84,0.07,0.41,6.07,37.85
47,0.07,0.07,6.19,51.75
58,0.1,0.13,1.55,9.02
2,0.12,0.54,5.94,40.8
72,0.15,0.89,5.16,33.89
56,0.19,0.26,5.55,40.97
35,0.23,0.28,1.51,9.0
24,0.25,0.41,5.3,34.01
83,0.45,0.6,4.36,23.13
75,0.85,1.02,7.78,59.73
18,1.15,2.01,6.93,39.43
88,1.37,1.94,3.85,13.56
71,1.6,1.83,9.41,53.14
69,2.07,2.96,8.07,47.81
91,2.12,2.59,8.63,54.57
82,2.87,3.11,5.81,21.24
13,2.88,2.94,3.82,8.2
65,3.0,3.6,6.95,20.68
77,3.13,3.19,8.03,46.33
98,4.03,4.53,6.22,13.7
7,4.06,4.94,8.62,34.65
68,4.35,4.4,7.51,22.44
89,4.35,5.24,8.11,22.16
74,4.58,4.58,10.11,45.96
32,4.62,5.56,10.45,41.43
87,5.04,5.98,10.27,35.62
70,5.12,5.5,11.86,51.01
80,5.21,5.29,7.09,16.5
76,5.36,5.92,12.63,46.99
19,5.36,6.13,7.92,13.51
41,5.6,6.03,13.18,62.07
54,5.74,6.24,11.77,38.51
22,5.75,6.06,12.78,46.65
10,5.78,5.98,14.02,59.89
14,5.91,6.46,9.27,16.65
73,6.84,6.86,8.76,14.88
39,7.01,7.44,10.61,27.44
61,7.15,7.71,15.32,53.81
12,7.39,7.72,12.66,47.36
37,7.84,8.47,10.77,19.55
46,8.05,8.58,12.9,33.3
44,8.22,9.19,13.96,29.65
16,8.55,9.08,11.26,13.06
63,8.58,8.74,12.92,27.63
66,8.62,8.83,11.37,15.3
31,8.85,9.27,13.35,27.37
45,8.99,9.34,15.04,47.15
36,9.19,9.47,12.26,27.88
34,9.45,10.07,14.54,29.38
3,9.73,10.06,12.98,17.13
62,9.89,10.31,16.8,58.6
27,10.06,10.24,16.09,40.82
96,10.16,10.28,16.37,58.96
15,10.72,10.97,17.18,49.63
49,10.81,11.2,13.92,16.24
86,11.02,11.03,16.99,47.15
57,11.41,11.48,14.25,26.48
100,11.59,12.02,17.99,51.5
23,11.62,12.01,14.17,13.49
33,11.81,11.96,17.0,31.82
92,12.17,12.4,13.53,7.21
38,12.24,13.15,15.58,21.21
43,12.56,12.67,15.16,16.44
64,12.79,13.02,19.59,60.45
9,13.39,14.18,16.28,14.61
51,13.6,14.36,19.13,29.65
55,13.98,14.36,16.31,15.74
50,14.05,14.78,22.28,61.89
4,14.33,15.21,19.45,36.45
78,14.47,14.61,16.52,12.56
85,14.61,14.86,18.08,19.22
28,14.73,15.21,17.47,22.36
25,14.76,15.24,17.64,16.53
11,14.78,14.88,16.56,10.3
6,14.78,15.65,19.66,24.74
52,15.23,15.38,21.43,44.71
20,15.35,15.74,22.1,55.41
30,15.38,15.43,22.28,47.95
17,15.44,16.27,22.24,49.59
93,15.6,16.18,20.91,37.22
60,16.12,16.2,17.52,9.22
40,16.14,16.22,17.41,8.13
59,17.05,17.33,24.84,53.63
53,17.29,17.69,23.81,57.95
67,17.31,18.17,25.22,49.66
81,17.39,17.76,22.03,27.68
42,17.57,18.08,19.17,7.7
5,17.9,18.63,23.28,33.5
99,18.42,19.16,20.83,12.88
26,18.75,19.69,20.59,5.6
48,18.77,19.17,23.61,40.33
29,18.8,19.11,20.97,10.43
97,18.86,19.34,26.43,58.42
79,18.93,19.03,22.37,21.5
95,19.13,19.69,23.68,26.45
8,19.27,19.29,24.21,47.11
21,19.31,19.51,23.35,25.72
94,19.6,19.84,26.11,47.1
